date,margin_ratio_pct
2016-12-12,148.389502
2016-12-13,148.962621
2016-12-14,149.068564
2016-12-15,149.195457
2016-12-16,148.817770
2016-12-19,146.884273
2016-12-20,147.358046
2016-12-21,147.551897
2016-12-22,146.170098
2016-12-23,145.702971
2016-12-26,145.957146
2016-12-27,145.264204
2016-12-28,147.058930
2016-12-29,146.875803
2016-12-30,147.711671
2017-01-03,148.511955
2017-01-04,149.046045
2017-01-05,150.329399
2017-01-06,150.775995
2017-01-09,149.733262
2017-01-10,150.031001
2017-01-11,150.009560
2017-01-12,150.305438
2017-01-13,150.233603
2017-01-16,149.796666
2017-01-17,150.846653
2017-01-18,151.893778
2017-01-19,151.880583
2017-01-20,151.979450
2017-01-23,153.029905
2017-01-24,153.258008
2017-02-02,155.481769
2017-02-03,156.043778
2017-02-06,157.301324
2017-02-07,156.564881
2017-02-08,157.262399
2017-02-09,158.824010
2017-02-10,158.167194
2017-02-13,158.402671
2017-02-14,157.761377
2017-02-15,159.122441
2017-02-16,158.582056
2017-02-17,159.213179
2017-02-18,160.272096
2017-02-20,158.261546
2017-02-21,158.633293
2017-02-22,159.611138
2017-02-23,158.766717
2017-02-24,159.005830
2017-03-01,157.312310
2017-03-02,157.369414
2017-03-03,156.099307
2017-03-06,156.994146
2017-03-07,157.576354
2017-03-08,157.691891
2017-03-09,156.279994
2017-03-10,155.633902
2017-03-13,156.187495
2017-03-14,157.100593
2017-03-15,156.962742
2017-03-16,157.448155
2017-03-17,158.974959
2017-03-20,159.156994
2017-03-21,159.013456
2017-03-22,158.992028
2017-03-23,159.158546
2017-03-24,158.391777
2017-03-27,156.289701
2017-03-28,155.406466
2017-03-29,156.657786
2017-03-30,157.269434
2017-03-31,157.090243
2017-04-05,157.835061
2017-04-06,157.158886
2017-04-07,157.677215
2017-04-10,157.777668
2017-04-11,155.313458
2017-04-12,155.207800
2017-04-13,155.103809
2017-04-14,152.393240
2017-04-17,151.685776
2017-04-18,153.553829
2017-04-19,152.060113
2017-04-20,151.616733
2017-04-21,152.948954
2017-04-24,152.402591
2017-04-25,154.546735
2017-04-26,155.928114
2017-04-27,156.052618
2017-04-28,155.484902
2017-05-02,156.263699
2017-05-03,155.017994
2017-05-04,155.575150
2017-05-05,153.984808
2017-05-08,152.475669
2017-05-09,151.252302
2017-05-10,153.531456
2017-05-11,153.163659
2017-05-12,153.401883
2017-05-15,154.684082
2017-05-16,153.927508
2017-05-17,153.951914
2017-05-18,154.226311
2017-05-19,154.412337
2017-05-22,154.724641
2017-05-23,155.419089
2017-05-24,156.208644
2017-05-25,157.567112
2017-05-26,157.161676
2017-05-31,156.380263
2017-06-01,157.425421
2017-06-02,158.621279
2017-06-03,158.986186
2017-06-05,160.246318
2017-06-06,160.406003
2017-06-07,160.121503
2017-06-08,160.048524
2017-06-09,159.783824
2017-06-12,158.893900
2017-06-13,158.459204
2017-06-14,156.073752
2017-06-15,156.185760
2017-06-16,157.635635
2017-06-19,158.706738
2017-06-20,158.404675
2017-06-21,159.775376
2017-06-22,160.647041
2017-06-23,159.701851
2017-06-26,161.085720
2017-06-27,160.993820
