date,open,high,low,close,volume
2025-10-28,264.71,264.71,264.19,264.19,0.0
2025-10-29,264.19,264.19,264.08,264.08,0.0
2025-10-30,264.08,264.08,262.02,262.02,0.0
2025-10-31,262.02,264.31,262.02,264.31,0.0
2025-11-03,264.31,265.68,264.31,265.68,0.0
2025-11-04,265.68,265.68,261.0,261.0,0.0
2025-11-05,261.0,261.0,259.11,259.11,0.0
2025-11-06,259.11,262.11,259.11,262.11,0.0
2025-11-07,262.11,262.11,258.86,258.86,0.0
2025-11-10,258.86,258.86,257.26,257.26,0.0
2025-11-11,257.26,257.26,256.7,256.7,0.0
2025-11-12,256.7,258.82,256.7,258.82,0.0
2025-11-13,258.82,260.3,258.82,260.3,0.0
2025-11-14,260.3,260.3,256.25,256.25,0.0
2025-11-17,256.25,256.25,255.96,255.96,0.0
2025-11-18,255.96,255.96,250.06,250.06,0.0
2025-11-19,250.06,250.06,246.7,246.7,0.0
2025-11-20,246.7,252.95,246.7,252.95,0.0
2025-11-21,252.95,252.95,245.97,245.97,0.0
2025-11-24,245.97,250.34,245.97,250.34,0.0
2025-11-25,250.34,254.4,250.34,254.4,0.0
2025-11-26,254.39999999999998,256.14,254.39999999999998,256.14,0.0
2025-11-27,256.14,258.24,256.14,258.24,0.0
2025-11-28,258.23999999999995,262.28,258.23999999999995,262.28,0.0
2025-12-01,262.28000000000003,262.28000000000003,259.72,259.72,0.0
2025-12-02,259.71999999999997,259.71999999999997,259.13,259.13,0.0
2025-12-03,259.13,260.55,259.13,260.55,0.0
2025-12-04,260.55,260.55,259.86,259.86,0.0
2025-12-05,259.85999999999996,260.65,259.85999999999996,260.65,0.0
2025-12-08,260.65,262.37,260.65,262.37,0.0
2025-12-09,262.37,264.19,262.37,264.19,0.0
2025-12-10,264.19,264.67,264.19,264.67,0.0
2025-12-11,264.67,264.67,263.98,263.98,0.0
2025-12-12,263.98,265.37,263.98,265.37,0.0
2025-12-15,265.37,265.37,265.16,265.16,0.0
2025-12-16,265.16,265.16,260.24,260.24,0.0
2025-12-17,260.24,261.45,260.24,261.45,0.0
2025-12-18,261.45,261.45,259.39,259.39,0.0
2025-12-19,259.39,262.64,259.39,262.64,0.0
2025-12-22,262.64000000000004,266.85,262.64000000000004,266.85,0.0
2025-12-23,266.84999999999997,267.76,266.84999999999997,267.76,0.0
2025-12-24,267.76,269.75,267.76,269.75,0.0
2025-12-26,269.75,271.5,269.75,271.5,0.0
2025-12-29,271.5,272.82,271.5,272.82,0.0
2025-12-30,272.82,274.54,272.82,274.54,0.0
2025-12-31,274.54,276.24,274.54,276.24,0.0
2026-01-02,276.23999999999995,278.03,276.23999999999995,278.03,0.0
2026-01-05,278.03000000000003,278.03000000000003,275.66,275.66,0.0
2026-01-06,275.66,278.97,275.66,278.97,0.0
2026-01-07,278.96999999999997,281.44,278.96999999999997,281.44,0.0
2026-01-08,281.44,281.44,280.06,280.06,0.0
2026-01-09,280.06,280.06,279.85,279.85,0.0
2026-01-12,279.84999999999997,286.57,279.84999999999997,286.57,0.0
2026-01-13,286.57,286.57,285.36,285.36,0.0
2026-01-14,285.36,290.6,285.36,290.6,0.0
2026-01-15,290.6,291.16,290.6,291.16,0.0
2026-01-16,291.15999999999997,292.78,291.15999999999997,292.78,0.0
2026-01-19,292.78000000000003,295.11,292.78000000000003,295.11,0.0
2026-01-20,295.11,297.61,295.11,297.61,0.0
2026-01-21,297.61,297.61,293.16,293.16,0.0
2026-01-22,293.15999999999997,297.82,293.15999999999997,297.82,0.0
2026-01-23,297.82,299.26,297.82,299.26,0.0
2026-01-26,299.26,302.65,299.26,302.65,0.0
2026-01-27,302.65,305.26,302.65,305.26,0.0
2026-01-28,305.26,309.28,305.26,309.28,0.0
2026-01-29,309.28000000000003,309.28000000000003,305.48,305.48,0.0
2026-01-30,305.47999999999996,305.47999999999996,300.78,300.78,0.0
2026-02-02,300.78,300.78,294.32,294.32,0.0
2026-02-03,294.32,298.26,294.32,298.26,0.0
2026-02-04,298.26,301.52,298.26,301.52,0.0
2026-02-05,301.52000000000004,301.52000000000004,296.36,296.36,0.0
2026-02-06,296.36,296.36,290.72,290.72,0.0
2026-02-09,290.72,296.62,290.72,296.62,0.0
2026-02-10,296.62,296.62,296.52,296.52,0.0
2026-02-11,296.52,297.71,296.52,297.71,0.0
2026-02-23,297.71,303.83,297.71,303.83,0.0
2026-02-24,303.83,311.44,303.83,311.44,0.0
2026-02-25,311.44,313.24,311.44,313.24,0.0
2026-02-26,313.24,316.73,313.24,316.73,0.0
2026-03-02,316.73,316.73,316.01,316.01,0.0
2026-03-03,316.01,316.01,308.81,308.81,0.0
2026-03-04,308.81,308.81,293.8,293.8,0.0
2026-03-05,293.79999999999995,304.21,293.79999999999995,304.21,0.0
2026-03-06,304.21000000000004,306.49,304.21000000000004,306.49,0.0
2026-03-09,306.49,306.49,288.96,288.96,0.0
2026-03-10,288.96,297.53,288.96,297.53,0.0
2026-03-11,297.53,311.5,297.53,311.5,0.0
2026-03-12,311.5,311.59,311.5,311.59,0.0
2026-03-13,311.59,312.9,311.59,312.9,0.0
2026-03-16,312.9,317.19,312.9,317.19,0.0
2026-03-17,317.19,321.03,317.19,321.03,0.0
2026-03-18,321.03,329.4,321.03,329.4,0.0
2026-03-19,329.40000000000003,329.79,329.40000000000003,329.79,0.0
2026-03-20,329.78999999999996,329.78999999999996,328.4,328.4,0.0
2026-03-23,328.4,328.4,317.02,317.02,0.0
2026-03-24,317.02,317.02,312.74,312.74,0.0
2026-03-25,312.74,324.87,312.74,324.87,0.0
2026-03-26,324.87,324.87,322.8,322.8,0.0
2026-03-27,322.8,325.0,322.8,325.0,0.0
2026-03-30,325.0,325.0,320.4,320.4,0.0
2026-03-31,320.40000000000003,320.40000000000003,307.73,307.73,0.0
2026-04-01,307.73,321.19,307.73,321.19,0.0
2026-04-02,321.19,321.19,317.9,317.9,0.0
2026-04-07,317.90000000000003,325.61,317.90000000000003,325.61,0.0
2026-04-08,325.61,341.2,325.61,341.2,0.0
2026-04-09,341.2,342.57,341.2,342.57,0.0
2026-04-10,342.57,349.5,342.57,349.5,0.0
